subject,startedBy,views,replies,lastPostBy,lastPostDate
[CN][PDF][Eng] Versatile Mage,traitorAIZEN,"7,479",36,Kuroe,"April 30, 2020, 10:26:13 pm"
[LN]Spy Room,Jayanth555,"1,505",3,Jayanth555,"April 30, 2020, 08:20:13 pm"
[CN][PDF][Eng] Library of Heaven's Path,traitorAIZEN,"9,185",27,shankstick,"April 30, 2020, 01:48:37 pm"
Tomb Raider King,traitorAIZEN,303,0,traitorAIZEN,"April 30, 2020, 01:15:11 pm"
[CN][PDF][Eng] It's Not Easy to Be a Man After Travelling to the Future,traitorAIZEN,"7,090",17,traitorAIZEN,"April 30, 2020, 01:14:49 pm"
[MANGA][CBZ] High School Prodigies Have It Easy Even in Another World!,Kawakigold,"1,372",4,OmegaLKSG,"April 30, 2020, 12:40:06 pm"
[LN][Eng]One Turn Kill of the Dark Partisan (Kuroki Eiyuu no Ichigeki Musou),Go-Sick,"6,389",6,Chetan417,"April 30, 2020, 12:00:44 pm"
[LN]Kawaikereba Hentai demo Suki ni Natte Kuremasu ka?,Jayanth555,"11,852",16,Jayanth555,"April 29, 2020, 08:04:25 pm"
[Light Novel] [English] Maou na Ore to Fushihime no Yubiwa,Go-Sick,"6,251",4,Draxis,"April 29, 2020, 02:37:16 pm"
[LN][Eng] Seishun Buta Yarou Series,Azura Ren,"4,934",7,traitorAIZEN,"April 29, 2020, 10:59:49 am"
[Light Novel] [English] Baccano!,Go-Sick,"16,638",30,traitorAIZEN,"April 29, 2020, 10:23:35 am"
"[LN][PDF][Eng] Kimi to Boku no Saigo no Senjo, Aruiha Sekai ga Hajimaru Seisen",traitorAIZEN,"11,523",13,traitorAIZEN,"April 29, 2020, 10:23:13 am"
[LN][Eng] Campfire Cooking in Another World with My Absurd Skill,Kawakigold,"7,214",16,shankstick,"March 06, 2020, 09:41:39 pm"
[WN][LN][English] Gaikotsu Kishi-sama Tadaima Isekai e o Dekake-chuu,Go-Sick,"34,922",32,Go-Sick,"March 06, 2020, 09:03:46 pm"
[CN][PDF][Eng] Kingdom's Bloodline,traitorAIZEN,"3,444",5,traitorAIZEN,"March 06, 2020, 03:18:03 pm"
[Light Novel][English] Only Sense Online,Alumine,"48,730",34,yukinoshitanoyuki,"March 06, 2020, 01:01:57 am"
[CN][PDF][Eng] Fields of Gold,traitorAIZEN,"1,014",2,traitorAIZEN,"February 29, 2020, 06:45:31 am"
[WN][PDF][Eng] The Divine Physician's Overbearing Wife,traitorAIZEN,"1,192",2,I.ManiacReader,"February 28, 2020, 11:53:48 am"
[WN][PDF][Eng] Chronicles of The Hardships of Komachi in The Sengoku Era,traitorAIZEN,"3,757",5,verde arc,"March 05, 2020, 08:23:30 pm"
[LN][ENG] My Hero Academia: School Briefs,shadow69,698,1,Jayanth555,"March 05, 2020, 07:17:02 am"
[Light Novel] [English] Oda Nobuna no Yabou,Go-Sick,"34,831",28,ghost dragon,"February 28, 2020, 04:33:42 am"
[LN][ENG] Bungo Stray Dogs,shadow69,"1,499",4,Jayanth555,"February 27, 2020, 04:22:29 am"
[LN][Eng] Aim the Deepest Part of the Different World Labyrinth,Azura Ren,"7,377",8,Harana,"March 04, 2020, 06:45:07 am"
[Light Novel] [English] Yahari Ore no Seishun Love Come wa Machigatteiru ,Go-Sick,"109,746",78,traitorAIZEN,"March 02, 2020, 01:56:07 pm"
[LN][PDF][Eng] Cooking with Wild Game,traitorAIZEN,"38,800",96,traitorAIZEN,"February 26, 2020, 03:19:40 pm"
[Light Novel][English] Danmachi Gaiden - Sword Oratoria,Go-Sick,"69,686",84,traitorAIZEN,"February 25, 2020, 10:22:31 pm"
[Light Novel] [English] Sword Art Online Alternative : Gun Gale Online ,Go-Sick,"13,858",25,traitorAIZEN,"March 02, 2020, 01:55:58 pm"
[LN][Eng]The World's Strongest Rearguard: Labyrinth Country's Novice Seeker,Kawakigold,"3,737",5,traitorAIZEN,"March 02, 2020, 01:55:50 pm"
[CN][PDF][Eng] My House of Horrors,traitorAIZEN,"2,585",7,traitorAIZEN,"March 02, 2020, 01:55:32 pm"
[LN] Tearmoon Empire,Jayanth555,"1,390",2,traitorAIZEN,"February 25, 2020, 10:22:14 pm"
[WN][epub][EN] I Became a Hero in a Pandemic,Hentai- La,"4,028",10,KuTa,"February 25, 2020, 12:35:58 pm"
[LN][PDF][Eng] Amagi Brilliant Park,traitorAIZEN,"6,373",18,ghost dragon,"February 25, 2020, 12:44:58 am"
"[LN] Soudana, Tashika ni Kawaii Na",Jayanth555,"1,090",0,Jayanth555,"March 02, 2020, 02:03:07 am"
[WN][PDF][Eng] Nidoume no Jinsei wo Isekai de,traitorAIZEN,"18,688",28,traitorAIZEN,"March 02, 2020, 01:17:28 am"
[LN][Eng] Busy Wizard: This Warlock Just Wants to Provide for his Wives!,Kawakigold,"3,468",4,KuTa,"February 24, 2020, 03:47:35 pm"
[LN][Eng]Neon Genesis Evangelion: ANIMA,Kawakigold,"1,186",2,Jayanth555,"February 23, 2020, 06:34:04 pm"
[WN][PDF][Eng] Villainous Daughter Aims for the Last Boss,traitorAIZEN,"2,087",1,traitorAIZEN,"March 02, 2020, 01:17:19 am"
[Web Novel][ENG][PDF] Pure Love X Insult Complex,Poots,"17,107",47,Poots,"March 02, 2020, 01:02:53 am"
[LN] I Refuse to Be Your Enemy!,Jayanth555,"1,027",0,Jayanth555,"February 23, 2020, 12:12:09 am"
[LN] [ENG] [PDF] Drop!!　～A Tale of the Fragrance Princess～,krysstof,"3,376",6,Jayanth555,"February 22, 2020, 07:16:54 pm"
[WN][PDF][Eng] World Teacher – Other World Style Education & Agent,traitorAIZEN,"69,025",102,Daniel Tolentino,"March 01, 2020, 04:32:02 pm"
[WN][PDF] Genocide Online ~Playtime Diary of an Evil Young Girl~,traitorAIZEN,"1,526",2,Aditi1517,"February 29, 2020, 07:50:15 pm"
[Light Novel][English] Kikou Shoujo wa Kizutsukanai,Alumine,"22,505",8,Go-Sick,"February 21, 2020, 08:24:27 pm"
"[WN][PDF] I Woke Up Piloting the Strongest Starship, so I Became a Space Mercena",traitorAIZEN,"1,680",1,James Nabuya,"February 21, 2020, 07:19:27 pm"
[Light Novel][English] No Game No Life,Alumine,"618,073",132,shankstick,"February 21, 2020, 02:44:20 pm"
[LN][Eng] Skeleton Knight in Another World,Dark Warrior,"9,938",20,traitorAIZEN,"February 29, 2020, 03:14:02 pm"
"[LN][ENG] Welcome to Japan, Ms. Elf!",shadow69,"6,188",12,traitorAIZEN,"February 29, 2020, 03:13:54 pm"
[WN][PDF][ENG]Maou Gakuin No Futekigousha,bryzc1031,"6,958",7,traitorAIZEN,"February 29, 2020, 06:45:57 am"
[Wn][ENG][PDF]Moto Sekai Ichi i no sub-chara ikusei nikki,bryzc1031,"6,076",5,shankstick,"February 21, 2020, 02:43:48 pm"
[CN][PDF][ENG] Strongest Abandoned Son.,Shahid Atish,"1,700",4,Taku saka,"February 21, 2020, 04:05:21 am"
"[WN][PDF][Eng] An A-Ranked Adventurer's ""Slow-living""",traitorAIZEN,"6,648",7,Dark Warrior,"February 20, 2020, 07:52:21 pm"
[Light Novel][English] The Melancholy of Suzumiya Haruhi,Zyibis,"23,734",24,Alucard Alpha,"February 20, 2020, 02:06:04 am"
[Light Novel] [English] Seirei Tsukai no Blade Dance,Go-Sick,"27,951",29,Invidia,"February 18, 2020, 11:09:41 am"
[LN] Toaru Majutsu no Index: Genesis Testament,Jayanth555,994,2,fuadhika,"February 17, 2020, 07:08:49 am"
[Light Novel][English] Toaru Majutsu no Index: New Testament,Zyibis,"36,658",32,Hughinja,"February 16, 2020, 06:23:42 am"
[WN][PDF][Eng] The Wolf Won't Sleep,traitorAIZEN,"2,788",3,traitorAIZEN,"February 16, 2020, 02:03:29 am"
[WN][PDF][Eng] The Lust System,traitorAIZEN,"3,026",2,sinancan,"February 07, 2020, 02:09:24 am"
[WN][Eng] Akuyaku Tensei Dakedo Doushite Kou Natta,EvilMegaDroid,"13,487",15,traitorAIZEN,"February 06, 2020, 05:53:34 pm"
[Light Novel] [English] Walking My Second Path in Life,bry19an,"7,822",9,Darkhhawk,"February 14, 2020, 11:39:47 pm"
[WN][PDF][Eng] Nigotta Hitomi no Lilianne,traitorAIZEN,"13,313",17,traitorAIZEN,"February 06, 2020, 05:53:19 pm"
[WN][PDF][Eng] The Galactic Navy Officer becomes an Adventurer,traitorAIZEN,"1,468",3,Adol25,"February 14, 2020, 01:58:35 pm"
[Light Novel] [English] Sorcerous Stabber Orphen,Go-Sick,"7,808",12,Jayanth555,"February 12, 2020, 09:19:45 am"
[Light Novel] [English] Imouto Sae Ireba ii,Go-Sick,"14,662",13,Jayanth555,"February 05, 2020, 07:50:57 am"
[Light Novel] [English] Kokoro Connect,Go-Sick,"13,004",30,Jayanth555,"February 05, 2020, 06:29:22 am"
[Light Novel][English] Kare to Hitokui no Nichijou ,Go-Sick,"10,072",8,Jayanth555,"February 12, 2020, 08:04:59 am"
[LN][Eng] The Werewolf Count and the Trickster Tailor,Kawakigold,745,0,Kawakigold,"February 11, 2020, 03:11:03 pm"
[LN][Eng] Milk Princess: Lovey-Dovey Boobtopia ,Rekka,"5,952",9,Jayanth555,"February 04, 2020, 12:46:07 pm"
[LN][Eng] The Misfortune Devouring Witch is Actually a Vampire,Kawakigold,853,0,Kawakigold,"February 11, 2020, 03:09:00 pm"
[WN][PDF][Eng] The Wolf Lord’s Lady,traitorAIZEN,"3,395",3,Aditi1517,"February 11, 2020, 09:59:28 am"
[KN][PDF][Eng] A Returner’s Magic Should Be Special,traitorAIZEN,"4,915",4,traitorAIZEN,"February 11, 2020, 02:43:44 am"
[Light Novel][ENG]Is it Tough Being a Friend?,Go-Sick,"6,516",9,Jayanth555,"February 04, 2020, 12:38:25 pm"
"[LN][Eng] I, the Demon Lord, Took a Slave Elf as my Wife, but how do I Love Her?",Nazurdin,"36,584",59,shankstick,"February 03, 2020, 02:06:11 pm"
[Light Novel][English] Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e,somaanggoro,"177,332",204,traitorAIZEN,"February 10, 2020, 03:14:28 am"
[CN][PDF][Eng] The King's Avatar,traitorAIZEN,"23,891",31,Aditi1517,"February 09, 2020, 03:13:31 pm"
[LN][Eng] I Shaved. Then I Brought a High School Girl Home,Azura Ren,"2,612",3,Azura Ren,"February 08, 2020, 01:56:18 am"
[LN] Assassins Pride,Jayanth555,"2,573",2,Amateur,"February 03, 2020, 01:32:54 pm"
[LN][PDF] Cute Kunoichis: When The Cute Kunoichis Spied on Their Teacher's Secre,traitorAIZEN,"1,177",0,traitorAIZEN,"February 07, 2020, 04:42:31 pm"
[KN][PDF][Eng] The Sword and The Dress,traitorAIZEN,710,0,traitorAIZEN,"February 07, 2020, 04:42:12 pm"
"[WN][PDF] I'm an S-Rank ""Behemoth"" Monster, but I’m Living as a Knight (Pet) of ",traitorAIZEN,"3,883",4,traitorAIZEN,"February 07, 2020, 04:42:02 pm"
"[WN][PDF][Eng] Although I Am Only Level 1, but with This Unique Skill, I Am the",traitorAIZEN,"12,292",15,denis01,"February 03, 2020, 08:54:07 am"
"[LN][Eng] At Night, I Become a Monster",Kawakigold,"1,058",1,traitorAIZEN,"February 02, 2020, 10:57:41 pm"
[LN][ENG] The Beast Player,shadow69,735,0,shadow69,"January 18, 2020, 02:59:10 pm"
[WN][PDF][Eng] The Hero Who Returned Remains the Strongest in the Modern World,traitorAIZEN,"2,311",3,traitorAIZEN,"February 07, 2020, 04:41:54 pm"
[WN][PDF][Eng] A Wild Last Boss Appeared,traitorAIZEN,"7,667",9,Darkhhawk,"February 07, 2020, 02:36:02 am"
[LN][PDF][Eng] Majo no Tabitabi,traitorAIZEN,"9,058",11,shankstick,"January 29, 2020, 10:14:17 pm"
[Web Novel] [English] Isekai Meikyuu de Dorei Harem wo ,Go-Sick,"14,416",8,krysstof,"February 02, 2020, 09:20:29 am"
[LN][Eng][PDF] Is It Wrong to Try to Pick Up Girls in a Dungeon?,Davidobot,"690,083",342,Ragna L. Grifol,"February 01, 2020, 11:06:46 pm"
[WN][PDF][ENG] Harassing Thief Girl,KuroNamake,"3,270",6,KuroNamake,"January 17, 2020, 07:57:30 pm"
[WN][PDF][Eng] Apotheosis of a Demon – A Monster Evolution Story,traitorAIZEN,"5,296",8,traitorAIZEN,"January 15, 2020, 11:52:40 pm"
[WN][PDF][Eng] Atelier Tanaka,traitorAIZEN,"13,573",19,shankstick,"January 29, 2020, 10:13:53 pm"
"[WN][PDF][Eng] I Was Just an Only Child Boy, Now I Became One of a Four...",Rugoru,"1,219",1,zerko,"February 01, 2020, 08:04:33 pm"
[LN][PDF][Eng] The Simple Job of Only Perishing to the Hero,traitorAIZEN,"16,474",28,Jayanth555,"January 31, 2020, 08:51:28 pm"
"[WN][PDF][Eng] When I Became a Girl, an Unexpected Love Quarrel Occurred!",Rugoru,604,0,Rugoru,"January 30, 2020, 08:49:07 pm"
[LN] The Underdog of the Eight Greater Tribes,Jayanth555,"1,286",1,traitorAIZEN,"January 15, 2020, 11:52:15 pm"
[LN] Maou Gakuen no Hangyakusha,Jayanth555,"2,552",2,Jayanth555,"January 14, 2020, 11:36:32 am"
"[CN][WN][Eng] Divine Genius Healer, Abandoned Woman: Demonic Tyrant in Love with",Dark Warrior,772,2,OmegaLKSG,"January 13, 2020, 10:08:19 pm"
[Light Novel] [English] Isekai Maou to Shoukan Shoujo no Dorei Majutsu,Go-Sick,"96,000",107,shankstick,"January 29, 2020, 10:13:12 pm"
[WN][PDF][Eng] Falling in Love with the Villainess ,traitorAIZEN,"24,288",47,Aditi1517,"January 29, 2020, 10:40:09 am"
[WN][PDF][Eng] Kanna no Kanna,traitorAIZEN,"6,091",10,BerryWey,"January 28, 2020, 10:50:43 am"
[Web Novel] [English] Tensei Oujo wa Kyou mo Hata o Tatakioru,lnwnepubs,"5,859",4,krysstof,"January 30, 2020, 07:34:08 am"
[WN][ENG][PDF]I won’t become something like Villainess. I am a “Normal” Duke's..,krysstof,"2,666",1,krysstof,"January 30, 2020, 06:14:45 am"
[KN][PDF][Eng] Green Skin,traitorAIZEN,"3,546",6,traitorAIZEN,"January 06, 2020, 02:29:34 pm"
[Light Novel] [English] Sakurasou no Pet no Kanojo,rizkan,"20,524",22,Ruisu,"January 13, 2020, 04:08:31 am"
[LN][Eng] Uchi no Musume no Tame Naraba,deadline14,"54,796",104,traitorAIZEN,"January 12, 2020, 09:24:47 pm"
[WN][PDF][Eng] The Strange Adventure of a Broke Mercenary,traitorAIZEN,"11,308",19,Ryu O,"January 11, 2020, 09:28:05 pm"
[WN][PDF][Eng] The Spear Master and the Black Cat,traitorAIZEN,"13,916",21,BerryWey,"January 28, 2020, 10:47:40 am"
[WN][PDF][Eng] To Be a Power in the Shadows!,traitorAIZEN,"48,187",71,Miq Amera,"January 27, 2020, 06:26:55 pm"
[WN][ENG]10 nen goshi no HikiNiito o Yamete Gaishutsushitara Jitaku goto Isekai ,Go-Sick,"10,071",10,verde arc,"January 25, 2020, 06:55:55 pm"
[LN][Eng] The Strategist Knows Everything,Azura Ren,"9,169",11,BerryWey,"January 29, 2020, 10:20:01 pm"
"[WN][PDF]The World Is Overflowing with Monster, I'm Taking a Liking to This Life",traitorAIZEN,"3,173",4,shankstick,"January 29, 2020, 10:15:33 pm"
[LN][Eng] I Became the Secretary of a Hero!,shadow69,"3,417",4,Darkhhawk,"January 06, 2020, 11:32:56 am"
[WN][PDF][Eng] Secret Organization,traitorAIZEN,"2,944",8,KuroNamake,"January 06, 2020, 02:01:38 am"
[Light Novel] [English] The Guild’s Cheat Receptionist,Go-Sick,"6,586",2,Mideris,"January 06, 2020, 12:06:59 am"
[WN][PDF][Eng] Kuma Kuma Kuma Bear,traitorAIZEN,"29,843",50,Chetan417,"January 11, 2020, 06:34:10 pm"
[Light Novel][English] Shiniki no Campiones,Go-Sick,"5,030",11,Luxcilla,"January 25, 2020, 05:31:03 pm"
[WN][PDF] World Domination System,Shahid Atish,"3,280",6,Shahid Atish,"January 24, 2020, 05:02:33 pm"
[Light Novel] [English]  Boku wa Tomodachi ga Sukunai ,Go-Sick,"13,523",13,princesama1,"January 24, 2020, 03:42:38 am"
[Light Novel] [English] Kono Subarashii Sekai ni Bakuen wo!,Go-Sick,"14,108",7,Go-Sick,"December 27, 2019, 07:19:14 pm"
[LN] Of Dragons and Fae: Is a Fairy Tale Ending Possible for the Princess’s Hair,Jayanth555,716,0,Jayanth555,"January 04, 2020, 11:12:06 pm"
[KN][PDF][Eng] Lucia,traitorAIZEN,"6,613",18,traitorAIZEN,"January 04, 2020, 10:51:02 pm"
[Web Novel] [English] Nidome no Yuusha,EvilMegaDroid,"29,820",40,traitorAIZEN,"January 04, 2020, 10:50:54 pm"
[WN][PDF][Eng] The Hidden Dungeon Only I Can Enter,traitorAIZEN,"5,819",5,traitorAIZEN,"January 11, 2020, 02:32:32 pm"
[Light Novel] [English] Maru-MA (MA Series) (Kyo Kara Maou!),Go-Sick,"3,849",2,DTSJ,"January 11, 2020, 03:45:12 am"
"[WN][PDF][EPUB][Eng] Isekai de Kojiin wo Hiraitakedo, Nazeka Darehitori Sudatou ",Chetan417,"3,325",2,FreyaLuna,"January 10, 2020, 10:23:59 pm"
[CN][PDF][Eng] The Godsfall Chronicles,traitorAIZEN,"5,608",14,traitorAIZEN,"January 23, 2020, 06:18:48 pm"
[WN][PDF][Eng] The Undetectable Strongest Job: Rule Breaker,traitorAIZEN,"2,024",2,Isean2000,"January 23, 2020, 07:54:35 am"
[Light Novel] [English] Strike The Blood,lnwnepubs,"63,897",67,OmegaLKSG,"January 22, 2020, 01:03:22 pm"
[LN][PDF][Eng] Kimi no Na wa,traitorAIZEN,"12,201",6,arden,"December 25, 2019, 02:56:29 pm"
[WN][Eng] Uchi no Musume no Tame naraba,EvilMegaDroid,"25,947",39,HaRan,"December 25, 2019, 06:37:34 am"
[Light Novel] [English] Seikoku no Dragonar,Go-Sick,"11,286",11,ghost dragon,"December 25, 2019, 04:02:07 am"
[LN][Eng] Hakata Tonkotsu Ramens,Azura Ren,"5,701",14,DTSJ,"January 04, 2020, 04:26:20 pm"
[LN][ENG] Perfect Blue,shadow69,"1,034",3,Go-Sick,"January 03, 2020, 08:12:14 pm"
[Light Novel][English] Gekkou,Alumine,"6,359",4,DontMindMe,"January 02, 2020, 07:29:31 am"
[WN][PDF][Eng] Living in this World with Cut & Paste,traitorAIZEN,"11,244",16,King_Erythor114,"January 10, 2020, 09:57:27 am"
[WN][PDF][Eng] Half-elves Fall in Love,traitorAIZEN,"4,018",6,traitorAIZEN,"January 09, 2020, 02:37:56 pm"
[LN][Eng] Spice and Wolf,Alumine,"307,879",153,traitorAIZEN,"January 08, 2020, 04:48:29 pm"
[Light Novel] [English] Death March Kara Hajimaru Isekai Kyousoukyoku,Go-Sick,"93,794",104,traitorAIZEN,"January 22, 2020, 03:12:35 am"
[LN][Eng] Your Name Another Side:Earthbound,deadline14,"4,506",2,shadow69,"January 21, 2020, 11:51:19 pm"
[LN] [Eng] Weathering With You,Dark Warrior,"1,114",2,arden,"December 23, 2019, 06:44:33 am"
[LN][Eng] Clockwork Planet,Alumine,"19,108",29,Reiva12,"December 22, 2019, 11:02:11 pm"
[LN][Eng] The Combat Baker and Automaton Waitress,Azura Ren,"91,621",61,Azura Ren,"January 02, 2020, 03:52:59 am"
[LN][ENG] The Alchemist Who Survived Now Dreams of a Quiet City Life,shadow69,"3,058",6,Darkhhawk,"January 01, 2020, 01:44:16 pm"
[Light Novel][English] Full Metal Panic,Alumine,"45,265",22,traitorAIZEN,"January 01, 2020, 04:05:58 am"
[WN][PDF][Eng] Modern Weapons Cheat in Another World,Chetan417,908,0,Chetan417,"January 07, 2020, 02:09:23 am"
[LN][PDF][Eng] Last Embryo,traitorAIZEN,"22,694",20,Alucard Alpha,"January 07, 2020, 12:12:58 am"
[LN]Sekai no Yami to Tatakau Himitsu Kessha ga Nai kara Tsukutta (Hangire),Jayanth555,"4,667",7,traitorAIZEN,"January 06, 2020, 02:29:51 pm"
[Web Novel][English] Seirei Gensouki ~Konna Sekai de Deaeta Kimi ni~,Go-Sick,"17,481",18,tachibanaren,"January 19, 2020, 10:00:20 pm"
[Web Novel] [English] Netooku Otoko no Tanoshii Isekai Boueki,lnwnepubs,"4,361",1,verde arc,"January 19, 2020, 09:02:52 pm"
"[LN] Sexiled: My Sexist Party Leader Kicked Me Out, So I Teamed Up With a Mythic",Jayanth555,"5,990",12,traitorAIZEN,"January 19, 2020, 07:34:39 pm"
[LN] Osananajimi ga Zettai ni Makenai Love Comedy,Jayanth555,"1,080",1,Hughinja,"December 22, 2019, 07:20:44 pm"
[Light Novel] [English] Hidan no Aria,Go-Sick,"19,421",23,DTSJ,"December 21, 2019, 12:46:28 pm"
"[LN][English]The Reader (Me), The Protagonist (Her) And Their After.",bryzc1031,"2,108",1,DTSJ,"December 20, 2019, 04:16:47 pm"
[LN][Eng] I've Been Killing Slimes for 300 Years and Maxed Out My Level,deadline14,"15,098",29,traitorAIZEN,"January 01, 2020, 04:05:37 am"
[LN][PDF] The Genius Prince’s Guide to Raising a Nation Out of Debt,traitorAIZEN,"7,264",13,traitorAIZEN,"December 30, 2019, 12:16:04 pm"
[CN][PDF][Eng] The Experimental Log of the Crazy Lich,traitorAIZEN,"6,099",12,traitorAIZEN,"December 30, 2019, 12:15:33 pm"
[WN][PDF][Eng] Kusuriya no Hitorigoto,traitorAIZEN,"13,912",15,traitorAIZEN,"January 06, 2020, 02:29:42 pm"
[CN][PDF][Eng] Divine Doctor,traitorAIZEN,"1,682",5,traitorAIZEN,"January 18, 2020, 08:59:24 pm"
[WN][PDF][Eng] Heavenly Castle,traitorAIZEN,"3,338",6,Hughinja,"December 18, 2019, 02:21:03 pm"
[WN][Eng] The Duke’s Daughter Is the Knight Captain’s Young Wife,EvilMegaDroid,"5,659",7,traitorAIZEN,"December 14, 2019, 04:26:50 pm"
[Light Novel] [English] Dungeon Defense,Go-Sick,"16,510",10,Ryu O,"December 30, 2019, 01:17:22 am"
[LN][ENG] Banner of the Stars,shadow69,678,1,Jayanth555,"December 29, 2019, 01:37:55 am"
[LN][ENG] Legend of The Galactic Heroes,shadow69,"7,691",18,Jayanth555,"December 14, 2019, 10:15:49 am"
[WN][PDF][Eng] Shinwa Densetsu no Eiyuu no Isekaitan,traitorAIZEN,"18,335",24,Hughinja,"December 12, 2019, 09:49:42 pm"
[WN][PDF][Eng] Reborn Little Girl Won't Give Up,traitorAIZEN,"2,919",2,traitorAIZEN,"December 11, 2019, 09:38:11 pm"
[Light Novel][English] Strawberry Panic,Alumine,"8,085",6,Jayanth555,"December 28, 2019, 08:16:57 pm"
[WN][Eng] A Genius Bokukko’s Stress Reducing Method,Rekka,"3,088",4,duomaxx,"December 28, 2019, 01:00:54 pm"
[MANGA][CBZ] Ascendance of a Bookworm,Kawakigold,429,0,Kawakigold,"December 09, 2019, 12:29:37 pm"
[CN][EPUB] Martial God Asura,Uta,521,0,Uta,"December 09, 2019, 12:35:24 am"
[Chinese Novel] [English] [Epub] Otherworldly Evil Monarch,EvilMegaDroid,"2,739",1,Uta,"December 08, 2019, 11:38:05 pm"
[CN][PDF] Reincarnation Of The Strongest Sword God,Shahid Atish,"1,106",1,Uta,"December 08, 2019, 11:35:35 pm"
[Light Novel] [English] Netoge no Yome wa Onnanoko ja Nai to Omotta?,Go-Sick,"9,086",12,Jayanth555,"December 08, 2019, 11:33:45 am"
[WN][ENG][PDF] The Strongest Guild Master Founded a Nation in a Week,KilLaRuNa,"11,542",17,YoshitoSakurai,"December 08, 2019, 07:58:06 am"
[KR][PDF][Eng] FFF-Class Trashero,traitorAIZEN,"5,112",9,tempetahu0,"November 26, 2019, 04:31:36 am"
"[LN] Maou Toubatsushita Ato, Medatachitakunai node Guild Master ni Natta",Jayanth555,"1,456",0,Jayanth555,"November 25, 2019, 03:43:23 am"
[CHN][Eng][PDF] My Wife is a Beautiful CEO,KilLaRuNa,"3,192",5,seira00100,"November 25, 2019, 01:37:51 am"
[WN][PDF][Eng] I am a Witch Requested by My Crush to Make Love Potion,traitorAIZEN,"1,281",1,Darkhhawk,"December 08, 2019, 02:54:09 am"
[Light Novel] [English] Shakugan no Shana,Go-Sick,"4,262",1,Nodeo-Franvier,"December 07, 2019, 05:07:42 pm"
[LN][Eng] Monster Girl Doctor,shadow69,"15,180",25,Draxis,"December 06, 2019, 09:23:18 am"
[WN][PDF][Eng] Isekai Shoukan wa Nidome Desu,traitorAIZEN,"11,381",15,Raile,"November 24, 2019, 06:03:56 am"
[LN][PDF][Eng] Almadianos Eiyuuden,traitorAIZEN,"5,462",6,Rei,"November 24, 2019, 03:22:37 am"
[KR][PDF][Eng] The Novel's Extra,traitorAIZEN,"16,268",55,Felipe Riquelme,"December 05, 2019, 08:57:42 am"
[LN][Eng] The Master of Ragnarok & Blesser of Einherjar,shadow69,"26,603",56,rfrfcb3001,"December 05, 2019, 03:26:53 am"
[LN][ENG]Mixed Bathing in Another Dimension: The Hero of the Unlimited Bath,Go-Sick,"24,399",36,Reiva12,"December 04, 2019, 11:53:44 pm"
[Light Novel][English] Elvenblood,Alumine,"9,833",8,Draxis,"November 24, 2019, 02:37:44 am"
"[WN][PDF] Boukensha License o Hakudatsu Sareta Ossan Dakedo, Manamusume ga Dekit",traitorAIZEN,"4,786",6,shankstick,"November 24, 2019, 01:45:50 am"
[KN][PDF][Eng] One Man Army,traitorAIZEN,"4,609",8,shankstick,"November 24, 2019, 01:43:21 am"
[Web Novel][Eng]Koushaku Reijou no Tashinami (Common Sense Of A Duke's Daughter),Go-Sick,"14,900",22,traitorAIZEN,"December 04, 2019, 11:08:30 pm"
[WN][PDF][Eng] Shoujo Grand Summoning,rafogor,"1,771",2,cah.amrul,"December 03, 2019, 03:10:39 pm"
[WN][PDF][Eng] Slow Prison Life,traitorAIZEN,"4,635",9,traitorAIZEN,"November 23, 2019, 10:35:20 pm"
[KN][PDF][Eng] Haroon,traitorAIZEN,"5,140",13,Heathen,"November 23, 2019, 08:47:00 pm"
[CN][ENG][PDF] Cultivation Chat Group,shirlulu007,604,1,AriaPt,"November 23, 2019, 06:43:57 pm"
[WN][PDF][Eng] The Villainous Daughter's Butler,traitorAIZEN,"1,681",1,Akiren,"December 03, 2019, 02:17:04 pm"
[Light Novel] [English] May Your Soul Rest in Magdala,Go-Sick,"10,446",11,shirlulu007,"December 01, 2019, 09:39:50 am"
[Light Novel] [English] Denpa Onna to Seishun Otoko,Go-Sick,"7,948",8,Draxis,"December 01, 2019, 04:54:01 am"
[LN][Eng] Rakudai Kishi No Eiyutan,raiputz,"56,911",43,Go-Sick,"November 22, 2019, 07:39:37 pm"
[Light Novel] [English] Hyouka,Go-Sick,"15,507",19,Harana,"November 22, 2019, 06:12:33 am"
[WN][PDF][Eng] Daybreak on Hyperion,traitorAIZEN,"3,720",3,fcornejo,"November 30, 2019, 03:16:11 am"
[LN][Eng] Saijaku Muhai no Bahamut,Go-Sick,"27,907",52,Jayanth555,"November 29, 2019, 06:01:35 am"
[Light Novel] [English] My Vampire Older Sister and Zombie Little Sister,Go-Sick,"8,393",15,seira00100,"November 29, 2019, 01:40:13 am"
[Light Novel] [English] Maoyuu Maou Yuusha,Go-Sick,"12,099",9,khawaja07,"November 22, 2019, 03:36:34 am"
[WN][PDF][Eng] Demon Lord's Town Planning!  ~The Strongest Dungeon is,traitorAIZEN,"26,395",37,shankstick,"November 19, 2019, 02:14:00 pm"
[LN][Eng] Arifureta Shokugyou de Sekai Saikyou Zero,deadline14,"14,036",22,traitorAIZEN,"November 19, 2019, 01:52:27 am"
[Light Novel][English] Did You Think Another World Would Motivate a NEET?,Go-Sick,"5,538",12,Jayanth555,"November 29, 2019, 12:39:30 am"
